"date","level","change24h","discharge","temperature"
2010-01-01,95,-54,38.6,2
2010-01-02,68,-27,32.9,2.8
2010-01-03,49,-19,28.8,1.9
2010-01-04,26,-23,23.6,0.7
2010-01-05,17,-9,21.5,0
2010-01-06,6,-11,18.8,NA
2010-01-07,-2,-8,16.8,0.2
2010-01-08,-5,-3,16.1,0.4
2010-01-09,-11,-6,14.7,1.2
2010-01-10,-76,0,1.6,5.2
2010-01-11,134,46,46.8,2.2
2010-01-12,243,109,69.7,1.3
2010-01-13,267,24,76.1,1.5
2010-01-14,216,-51,57.4,1.5
2010-01-15,142,-74,43.3,1.7
2010-01-16,101,-41,35.9,0.8
2010-01-17,70,-31,30.2,0.7
2010-01-18,47,-23,26.1,0.5
2010-01-19,29,-18,22.9,0.8
2010-01-20,14,-15,20,1.1
2010-01-21,8,-6,18.7,1.2
2010-01-22,1,-7,17.2,0.8
2010-01-23,-6,-7,15.8,0.5
2010-01-24,-13,-7,14.3,NA
2010-01-25,-30,-17,10.6,NA
2010-01-26,-31,-1,10.4,NA
2010-01-27,NA,NA,NA,NA
2010-01-28,-33,NA,9.9,NA
2010-01-29,-41,-8,8.2,NA
2010-01-30,-38,3,8.9,NA
2010-01-31,-39,-1,8.7,NA
2010-02-01,-39,0,8.7,0
2010-02-02,-40,-1,8.4,NA
2010-02-03,-43,-3,7.8,NA
2010-02-04,-43,0,7.8,0
2010-02-05,-42,1,8,NA
2010-02-06,-41,1,8.2,NA
2010-02-07,-41,0,NA,NA
2010-02-08,-41,0,8.2,NA
2010-02-09,-42,-1,8,NA
2010-02-10,-43,-1,7.8,NA
2010-02-11,-46,-3,7.3,NA
2010-02-12,-46,0,7.3,NA
2010-02-13,-43,3,7.8,NA
2010-02-14,-42,1,8,NA
2010-02-15,-41,1,8.2,1.5
2010-02-16,-42,-1,8,1.1
2010-02-17,-43,-1,7.8,1.2
2010-02-18,-45,-2,7.5,1.5
2010-02-19,-45,0,7.5,1.8
2010-02-20,-24,21,12,2.1
2010-02-21,100,124,35.7,0.6
2010-02-22,130,30,40.7,NA
2010-02-23,258,128,69.6,NA
2010-02-24,278,20,77.3,0.8
2010-02-25,226,-52,60.1,2.9
2010-02-26,210,-16,55.8,3.3
2010-02-27,302,92,87.3,3.3
2010-02-28,317,15,99.4,2.8
2010-03-01,329,12,109,NA
2010-03-02,303,-26,88.1,3.8
2010-03-03,252,-51,67.3,3.3
2010-03-04,181,-71,49.9,3.2
2010-03-05,127,-54,40.6,2.4
2010-03-06,90,-37,33.9,1.2
2010-03-07,68,-22,29.9,1.7
2010-03-08,48,-20,26.2,1.5
2010-03-09,31,-17,23.2,1.1
2010-03-10,19,-12,21.1,0.9
2010-03-11,NA,NA,NA,NA
2010-03-12,1,NA,17.2,1.4
2010-03-13,-4,-5,16.2,2
2010-03-14,-6,-2,15.8,2.3
2010-03-15,-9,-3,15.2,2.7
2010-03-16,-10,-1,15,3.2
2010-03-17,-12,-2,14.5,3
2010-03-18,-17,-5,13.5,3.5
2010-03-19,-19,-2,13.1,4.4
