"date","level","change24h","discharge","temperature"
2010-01-01,102,-5,24,4.7
2010-01-02,92,-10,19,4.7
2010-01-03,86,-6,16,4.3
2010-01-04,85,-1,15,2.2
2010-01-05,88,3,17,1.4
2010-01-06,80,-8,13,2.3
2010-01-07,77,-3,12,3.4
2010-01-08,80,3,13,3.1
2010-01-09,98,18,22,3.8
2010-01-10,49,5,3.3,5.2
2010-01-11,175,4,75,5.2
2010-01-12,157,-18,60,5.3
2010-01-13,138,-19,46,4.5
2010-01-14,126,-12,38,4.4
2010-01-15,119,-7,34,3.5
2010-01-16,112,-7,30,2.9
2010-01-17,106,-6,26,2.7
2010-01-18,102,-4,24,3.1
2010-01-19,93,-9,19,3.6
2010-01-20,87,-6,16,3.5
2010-01-21,89,2,17,2.6
2010-01-22,83,-6,14,2.1
2010-01-23,81,-2,13,1.2
2010-01-24,84,3,15,0.6
2010-01-25,79,-5,12,0.2
2010-01-26,75,-4,11,0.6
2010-01-27,73,-2,9.8,0
2010-01-28,71,-2,9.1,0
2010-01-29,73,2,9.8,0.4
2010-01-30,73,0,9.8,0.7
2010-01-31,77,4,12,1
2010-02-01,66,-11,7.4,1.5
2010-02-02,66,0,7.4,0
2010-02-03,78,12,12,0
2010-02-04,68,-10,8,0
2010-02-05,78,10,12,0
2010-02-06,64,-14,6.8,1.8
2010-02-07,67,3,7.7,2.2
2010-02-08,68,1,8,1.7
2010-02-09,64,-4,6.8,2.1
2010-02-10,65,1,7.1,1.8
2010-02-11,59,-6,5.4,2.6
2010-02-12,59,0,5.4,3.3
2010-02-13,65,6,7.1,3.3
2010-02-14,61,-4,5.9,3.2
2010-02-15,70,9,8.7,3.2
2010-02-16,61,-9,5.9,3
2010-02-17,63,2,6.5,1.8
2010-02-18,58,-5,5.2,2.6
2010-02-19,64,6,6.8,3.5
2010-02-20,91,27,18,3.6
2010-02-21,86,-5,16,2.9
2010-02-22,77,-9,12,2.7
2010-02-23,81,4,13,2.8
2010-02-24,94,13,20,3.3
2010-02-25,86,-8,16,4.2
2010-02-26,89,3,17,4.4
2010-02-27,116,27,32,4
2010-02-28,111,-5,29,4.2
2010-03-01,111,0,29,4.2
2010-03-02,107,-4,28,4.2
2010-03-03,100,-7,23,4.5
2010-03-04,96,-4,21,3.6
2010-03-05,93,-3,19,3.7
2010-03-06,89,-4,17,2.4
2010-03-07,89,0,16,2.4
2010-03-08,86,-3,18,2.3
2010-03-09,90,4,12,1.7
2010-03-10,78,-12,12,1.5
2010-03-11,76,-2,11,2.6
2010-03-12,76,0,14,2.6
2010-03-13,82,6,14,3
2010-03-14,73,-9,9.8,2.9
2010-03-15,72,-1,9.4,4.2
2010-03-16,72,0,8.8,4.2
2010-03-17,76,4,11,2.3
2010-03-18,77,1,12,3.7
2010-03-19,67,-10,7.7,4.8
2010-03-20,69,2,8.4,6
2010-03-21,68,-1,8,6.7
2010-03-22,72,4,9.4,7
2010-03-23,70,-2,8.7,7.2
2010-03-24,71,1,9.1,6.5
2010-03-25,71,0,14,6.5
2010-03-26,80,9,13,7.9
2010-03-27,83,3,14,8.6
2010-03-28,83,0,14,8.6
2010-03-29,83,0,14,6.6
2010-03-30,81,-2,13,6.9
2010-03-31,83,2,14,7.2
2010-04-01,85,2,15,6.8
2010-04-02,85,0,14,6.8
2010-04-03,83,-2,13,6.8
2010-04-04,81,-2,13,6.7
2010-04-05,77,-4,12,7.3
2010-04-06,82,5,14,7.2
2010-04-07,78,-4,12,6.9
2010-04-08,71,-7,9.1,7.7
2010-04-09,71,0,9.1,8.7
2010-04-10,74,3,10,9.3
2010-04-11,74,0,10,7.3
2010-04-12,80,6,13,6.8
