"date","level","change24h","discharge","temperature"
2010-01-01,239,-12,2050,2.9
2010-01-02,227,-12,1960,2.9
2010-01-03,243,16,2080,2.6
2010-01-04,259,16,2200,2.3
2010-01-05,254,-5,2160,2.6
2010-01-06,234,-20,2010,2.5
2010-01-07,215,-19,1860,2.5
2010-01-08,206,-9,1800,2.2
2010-01-09,205,-1,1790,2.2
2010-01-10,213,29,1850,7.4
2010-01-11,236,24,2020,2.9
2010-01-12,246,10,2100,2.8
2010-01-13,233,-13,2000,2.8
2010-01-14,224,-9,1930,2.8
2010-01-15,215,-9,1860,2.8
2010-01-16,206,-9,1800,2.6
2010-01-17,192,-14,1700,2.6
2010-01-18,179,-13,1620,2.4
2010-01-19,175,-4,1600,2.4
2010-01-20,174,-1,1590,2.3
2010-01-21,181,7,1630,2
2010-01-22,187,6,1670,1.8
2010-01-23,186,-1,1660,1.6
2010-01-24,178,-8,1610,1.4
2010-01-25,170,-8,1560,1.7
2010-01-26,161,-9,1510,1.8
2010-01-27,149,-12,1430,1.9
2010-01-28,128,-21,1300,2.1
2010-01-29,140,12,1380,0.8
2010-01-30,142,2,1390,1
2010-01-31,144,2,1400,1.4
2010-02-01,144,0,1400,1.2
2010-02-02,139,-5,1370,1.2
2010-02-03,140,1,1380,1.3
2010-02-04,137,-3,1360,1.3
2010-02-05,134,-3,1340,1.3
2010-02-06,142,8,1390,1.1
2010-02-07,160,18,NA,2.1
2010-02-08,162,2,1510,2.2
2010-02-09,154,-8,1460,1.7
2010-02-10,151,-3,1450,1.9
2010-02-11,153,2,1460,NA
2010-02-12,150,-3,1440,NA
2010-02-13,152,2,1450,2.4
2010-02-14,153,1,1460,2.1
2010-02-15,150,-3,1440,2.3
2010-02-16,143,-7,1400,2.2
2010-02-17,127,-16,1290,2
2010-02-18,122,-5,1260,2.4
2010-02-19,126,4,1290,2.9
2010-02-20,135,9,1340,3.7
2010-02-21,155,20,1470,3.7
2010-02-22,183,28,1640,2.9
2010-02-23,198,15,1740,2.9
2010-02-24,203,5,1770,3.4
2010-02-25,208,5,1810,3.8
2010-02-26,217,9,1880,3.8
2010-02-27,256,39,2180,4.2
2010-02-28,322,66,2710,4.4
2010-03-01,382,60,3210,4.6
2010-03-02,392,10,3300,4.8
2010-03-03,391,-1,3290,5.2
2010-03-04,394,3,3320,5.4
2010-03-05,380,-14,3190,5.3
2010-03-06,355,-25,2970,4.8
2010-03-07,321,-34,2700,4.6
2010-03-08,295,-26,2490,4.3
2010-03-09,271,-24,2300,3.8
2010-03-10,251,-20,2140,3.5
2010-03-11,235,-16,2020,NA
2010-03-12,223,-12,1920,3.5
2010-03-13,204,-19,1780,3.7
2010-03-14,194,-10,1710,4
2010-03-15,186,-8,1660,4.3
2010-03-16,182,-4,1640,4.3
2010-03-17,183,1,1640,4.5
2010-03-18,192,9,1700,4.8
2010-03-19,213,21,1850,5.2
2010-03-20,228,15,1960,5.7
2010-03-21,235,7,2020,6.3
2010-03-22,237,2,2030,6.7
2010-03-23,257,20,2190,7.3
2010-03-24,304,47,2560,7.3
2010-03-25,338,34,2830,7.8
2010-03-26,349,11,2920,8.5
2010-03-27,349,0,2920,9.2
2010-03-28,347,-2,2910,9.7
2010-03-29,350,3,2930,10.1
2010-03-30,346,-4,2900,10.3
2010-03-31,333,-13,2790,10.6
2010-04-01,321,-12,2700,10.4
2010-04-02,316,-5,2660,10.6
2010-04-03,309,-7,2600,10.2
2010-04-04,285,-24,2410,10.3
2010-04-05,271,-14,2300,10.6
2010-04-06,256,-15,2180,10.4
2010-04-07,244,-12,2080,10.1
2010-04-08,246,2,2100,10.4
2010-04-09,236,-10,2020,10.9
2010-04-10,227,-9,1960,11.5
2010-04-11,224,-3,1930,11.5
2010-04-12,219,-5,1890,11.4
2010-04-13,216,-3,1870,11
2010-04-14,220,4,1900,10.7
2010-04-15,228,8,1960,10.7
2010-04-16,256,28,2180,10.2
2010-04-17,322,66,2710,10.2
2010-04-18,330,8,2770,10.7
2010-04-19,306,-24,2580,11.2
2010-04-20,278,-28,2350,11.6
2010-04-21,267,-11,2270,12.4
2010-04-22,263,-4,2230,12.5
2010-04-23,259,-4,2200,12.7
2010-04-24,249,-10,2120,12.4
2010-04-25,229,-20,1970,12.8
2010-04-26,213,-16,1850,13.5
2010-04-27,217,4,1880,14.2
2010-04-28,225,8,1940,14.5
2010-04-29,233,8,2000,14.5
2010-04-30,227,-6,1960,14.8
2010-05-01,216,-11,1870,15.2
2010-05-02,220,4,1900,15.4
2010-05-03,232,12,1990,15.6
2010-05-04,247,15,2110,15.8
2010-05-05,263,16,2230,16.1
2010-05-06,276,13,2340,16.3
2010-05-07,280,4,2370,16.2
2010-05-08,319,39,2680,16.4
2010-05-09,351,32,2940,15.9
2010-05-10,339,-12,2840,15.8
2010-05-11,320,-19,2690,15.7
2010-05-12,295,-25,2490,16
2010-05-13,283,-12,2390,15.9
2010-05-14,292,9,2470,16.1
2010-05-15,308,16,2590,15.8
2010-05-16,392,84,3300,15.1
2010-05-17,420,28,3560,13.4
2010-05-18,441,21,3760,12.1
2010-05-19,453,12,3880,11.3
2010-05-20,450,-3,3850,11.4
2010-05-21,NA,NA,NA,NA
2010-05-22,460,5,3950,12.1
2010-05-23,481,21,4150,13.1
2010-05-24,507,26,4400,13.9
2010-05-25,494,-13,4270,14.3
2010-05-26,464,-30,3980,14.6
2010-05-27,464,-30,3980,14.6
2010-05-28,422,-8,3580,15.4
2010-05-29,NA,NA,NA,NA
2010-05-30,443,8,NA,NA
2010-05-31,442,-1,3770,16.1
2010-06-01,436,-6,3720,16.1
2010-06-02,471,35,4050,15.8
2010-06-03,471,35,4050,15.8
2010-06-04,635,85,5800,14.6
2010-06-05,707,72,6630,14.7
2010-06-06,770,63,7400,14.4
2010-06-07,770,63,7400,14.4
2010-06-08,770,63,7400,14.4
2010-06-09,794,-33,7700,NA
2010-06-10,746,-48,7100,17.4
2010-06-11,688,-58,6410,NA
2010-06-12,620,-68,5630,19.6
2010-06-13,565,-55,NA,19.4
2010-06-14,565,-55,NA,19.4
2010-06-15,490,-24,4230,19.8
2010-06-16,490,-24,4230,19.8
2010-06-17,486,-10,4200,19.4
2010-06-18,470,-16,4040,19.3
2010-06-19,476,6,4100,18.7
2010-06-20,461,-15,3960,18.6
2010-06-21,466,5,4000,18.3
2010-06-22,511,45,4450,17.9
2010-06-23,560,49,4970,16.5
2010-06-24,549,-11,4850,NA
2010-06-25,512,-37,4460,16.7
2010-06-26,466,-46,4000,16.8
2010-06-27,426,-40,3620,16.8
2010-06-28,385,-41,3240,17.1
2010-06-29,354,-31,2970,17.9
2010-06-30,332,-22,2790,18.4
2010-07-01,311,-21,2620,18.8
2010-07-02,304,-7,2560,19.2
2010-07-03,297,-7,2510,19.6
2010-07-04,288,-9,2430,19.8
2010-07-05,277,-11,2350,20.1
2010-07-06,261,-16,2220,20
2010-07-07,323,62,2710,20.2
2010-07-08,386,63,3250,20
2010-07-09,356,-30,2980,20.2
2010-07-10,319,-37,2680,20.2
2010-07-11,281,-38,2380,20.3
2010-07-12,264,-17,2240,20.6
2010-07-13,251,-13,2140,21
2010-07-14,230,-21,1980,21.3
2010-07-15,223,-7,1920,21.5
2010-07-16,232,9,1990,21.7
2010-07-17,227,-5,1960,21.9
2010-07-18,222,-5,1920,22.1
2010-07-19,222,0,1920,21.7
2010-07-20,298,76,2510,21.9
2010-07-21,315,17,2650,NA
2010-07-22,295,-20,2490,22.1
2010-07-23,267,-28,2270,22.3
2010-07-24,237,-30,2030,22.5
2010-07-25,232,-5,1990,21.7
2010-07-26,335,103,2810,21
2010-07-27,458,123,3930,20.5
2010-07-28,456,-2,3910,NA
2010-07-29,410,-46,3470,20.2
2010-07-30,375,-35,3150,20.3
2010-07-31,387,12,3260,20
2010-08-01,409,22,3460,19.9
2010-08-02,431,22,3670,20
2010-08-03,400,-31,3370,20.1
2010-08-04,362,-38,3040,20
2010-08-05,373,11,3130,20
2010-08-06,401,28,3380,19.9
2010-08-07,401,0,3380,19.6
2010-08-08,432,31,3680,19.3
2010-08-09,476,44,4100,19.1
2010-08-10,538,62,4730,18.9
2010-08-11,539,1,4740,18.9
2010-08-12,487,-52,4210,19
2010-08-13,448,-39,3830,19.5
2010-08-14,414,-34,3500,19.8
2010-08-15,403,-11,3400,20
2010-08-16,399,-4,3360,20.1
2010-08-17,398,-1,3350,20.1
2010-08-18,426,28,3620,19.9
2010-08-19,424,-2,3600,19.9
2010-08-20,416,-8,3520,19.9
2010-08-21,388,-28,3260,19.7
2010-08-22,351,-37,2940,19.8
2010-08-23,313,-38,2630,19.9
2010-08-24,284,-29,2400,20
2010-08-25,277,-7,2350,19.9
2010-08-26,280,3,2370,19.6
2010-08-27,317,37,2670,19.8
2010-08-28,317,0,2670,19.9
2010-08-29,298,-19,2510,19.4
2010-08-30,303,5,2550,19.3
2010-08-31,326,23,2740,18.7
2010-09-01,340,14,2850,17.5
2010-09-02,408,68,3450,NA
2010-09-03,498,90,4310,16.5
2010-09-04,541,43,4760,16.2
2010-09-05,538,-3,4730,15.3
2010-09-06,515,-23,4490,14.9
2010-09-07,492,-23,4250,14.7
2010-09-08,436,-56,3720,14.8
2010-09-09,402,-34,3390,14.5
2010-09-10,380,-22,3190,14.7
2010-09-11,376,-4,3160,15
2010-09-12,366,-10,3070,14.9
2010-09-13,367,1,3080,15.5
2010-09-14,345,-22,2890,15.7
2010-09-15,322,-23,2710,16.1
2010-09-16,317,-5,2670,16.6
2010-09-17,308,-9,2590,16.4
2010-09-18,306,-2,2580,16.1
2010-09-19,298,-8,2510,16.2
2010-09-20,299,1,2520,15.9
2010-09-21,292,-7,2470,15.9
2010-09-22,274,-18,2320,15.9
2010-09-23,257,-17,2190,15.9
2010-09-24,244,-13,2080,16
2010-09-25,236,-8,2020,16.1
2010-09-26,220,-16,1900,16.2
2010-09-27,236,16,2020,15.6
2010-09-28,294,58,2480,15.2
2010-09-29,318,24,2670,14.5
2010-09-30,312,-6,2630,13.9
2010-10-01,305,-7,2570,13.7
2010-10-02,301,-4,2540,13.4
2010-10-03,299,-2,2520,13.2
2010-10-04,295,-4,2490,12.9
2010-10-05,282,-13,2390,12.6
2010-10-06,275,-7,2330,12.3
2010-10-07,274,-1,2320,12.3
2010-10-08,275,1,2330,12.4
2010-10-09,258,-17,2190,12.3
2010-10-10,239,-19,2050,12.3
2010-10-11,225,-14,1940,12.3
2010-10-12,214,-11,1860,12.3
2010-10-13,198,-16,1740,12.2
2010-10-14,192,-6,1700,12
2010-10-15,193,1,1710,12
2010-10-16,186,-7,1660,12
2010-10-17,185,-1,1660,11.7
2010-10-18,189,4,1680,11.7
2010-10-19,187,-2,1670,11.4
2010-10-20,184,-3,1650,11.3
2010-10-21,183,-1,1640,10.8
2010-10-22,189,6,1680,10.2
2010-10-23,194,5,1710,10
2010-10-24,191,-3,1690,10
2010-10-25,191,0,1690,10.1
2010-10-26,193,2,1710,10.4
2010-10-27,188,-5,1680,9.7
2010-10-28,196,8,1730,9
2010-10-29,211,15,1830,8.7
2010-10-30,212,1,1840,8.4
2010-10-31,199,-13,1740,8.3
2010-11-01,188,-11,1680,7.7
2010-11-02,183,-5,1640,7.9
2010-11-03,182,-1,1640,8.2
2010-11-04,188,6,1680,8.5
2010-11-05,191,3,1690,8.6
2010-11-06,190,-1,1690,8.8
2010-11-07,187,-3,1670,9
2010-11-08,174,-13,1590,8.9
2010-11-09,160,-14,1500,9.5
2010-11-10,162,2,1510,9.6
2010-11-11,190,28,1690,9.5
2010-11-12,207,17,1800,9
2010-11-13,207,0,1800,8.9
2010-11-14,205,-2,1790,9
2010-11-15,210,5,1830,9.1
2010-11-16,221,11,1910,9.3
2010-11-17,224,3,1930,9.4
2010-11-18,212,-12,1840,9.6
2010-11-19,204,-8,1780,9.7
2010-11-20,202,-2,1770,9.2
2010-11-21,199,-3,1740,9.2
2010-11-22,209,10,1820,8.9
2010-11-23,224,15,1930,8.8
