"date","level","change24h","discharge","temperature"
2010-01-01,22,-9,NA,2.6
2010-01-02,7,-15,NA,2.6
2010-01-03,2,-5,NA,2.2
2010-01-04,18,16,NA,1.7
2010-01-05,30,12,NA,1.6
2010-01-06,24,-6,NA,1.4
2010-01-07,-2,-26,NA,1.4
2010-01-08,-15,-13,NA,1.6
2010-01-09,-23,-8,NA,2
2010-01-10,-42,24,NA,7.2
2010-01-11,-14,10,NA,2.3
2010-01-12,8,22,NA,3.2
2010-01-13,13,5,NA,2.2
2010-01-14,2,-11,NA,2.3
2010-01-15,-9,-11,NA,2.3
2010-01-16,-20,-11,NA,2
2010-01-17,-30,-10,NA,2
2010-01-18,-44,-14,NA,1.6
2010-01-19,-54,-10,NA,1.5
2010-01-20,-58,-4,NA,1.9
2010-01-21,-59,-1,NA,1.6
2010-01-22,-53,6,NA,1.5
2010-01-23,-47,6,NA,1.4
2010-01-24,-50,-3,NA,1.1
2010-01-25,-57,-7,NA,0.6
2010-01-26,-66,-9,NA,0.2
2010-01-27,-77,-11,NA,0
2010-01-28,-92,-15,NA,0.1
2010-01-29,-105,-13,NA,0.1
2010-01-30,-90,15,NA,0.1
2010-01-31,-90,0,NA,0.5
2010-02-01,-95,-5,NA,0
2010-02-02,-91,4,NA,0
2010-02-03,-92,-1,NA,0
2010-02-04,-90,2,NA,0.2
2010-02-05,-93,-3,NA,0
2010-02-06,-95,-2,NA,0
2010-02-07,-84,11,NA,0.1
2010-02-08,-71,13,NA,0.4
2010-02-09,-71,0,NA,0.7
2010-02-10,-76,-5,NA,0.6
2010-02-11,-79,-3,NA,0.6
2010-02-12,-77,2,NA,1
2010-02-13,-81,-4,NA,1.1
2010-02-14,-78,3,NA,0.9
2010-02-15,-78,0,NA,1.3
2010-02-16,-81,-3,NA,1
2010-02-17,-92,-11,NA,1.5
2010-02-18,-104,-12,NA,1.8
2010-02-19,-106,-2,NA,2
2010-02-20,-102,4,NA,2.6
2010-02-21,-94,8,NA,2.3
2010-02-22,-73,21,NA,2.7
2010-02-23,-49,24,NA,2.7
2010-02-24,-32,17,NA,3.4
2010-02-25,-24,8,NA,3.6
2010-02-26,-18,6,NA,4
2010-02-27,-7,11,NA,4.1
2010-02-28,NA,NA,NA,3.9
2010-03-01,124,NA,NA,4.2
2010-03-02,170,46,NA,4.7
2010-03-03,180,10,NA,4.7
2010-03-04,184,4,NA,4.7
2010-03-05,182,-2,NA,4.8
2010-03-06,165,-17,NA,4.5
2010-03-07,133,-32,NA,4.9
2010-03-08,99,-34,NA,4.2
2010-03-09,68,-31,NA,3.9
2010-03-10,45,-23,NA,3.2
2010-03-11,25,-20,NA,3.2
2010-03-12,5,-20,NA,3.3
2010-03-13,-9,-14,NA,3.5
2010-03-14,-21,-12,NA,3.7
2010-03-15,-34,-13,NA,3.8
2010-03-16,-43,-9,NA,3.9
2010-03-17,-45,-2,NA,3.8
2010-03-18,-45,0,NA,4.7
2010-03-19,-33,12,NA,4.8
2010-03-20,-16,17,NA,5.5
2010-03-21,0,16,NA,6.2
2010-03-22,8,8,NA,6.7
2010-03-23,13,5,NA,6.6
2010-03-24,45,32,NA,6.9
2010-03-25,95,50,NA,6.9
2010-03-26,126,31,NA,8
2010-03-27,133,7,NA,8.6
2010-03-28,136,3,NA,8.8
2010-03-29,136,0,NA,9.4
2010-03-30,137,1,NA,10
2010-03-31,130,-7,NA,9.6
2010-04-01,116,-14,NA,10.2
2010-04-02,105,-11,NA,10.4
2010-04-03,99,-6,NA,10
2010-04-04,83,-16,NA,10.1
2010-04-05,60,-23,NA,10.2
2010-04-06,45,-15,NA,10
2010-04-07,28,-17,NA,9.7
2010-04-08,21,-7,NA,10.2
2010-04-09,18,-3,NA,10.7
2010-04-10,12,-6,NA,10.9
2010-04-11,-1,-13,NA,10.3
2010-04-12,-1,0,NA,11
2010-04-13,-6,-5,NA,11
2010-04-14,-8,-2,NA,10.8
2010-04-15,-8,0,NA,10.5
2010-04-16,0,8,NA,10.5
2010-04-17,55,55,NA,10.3
2010-04-18,103,48,NA,10.3
2010-04-19,103,0,NA,11.3
2010-04-20,79,-24,NA,11.9
2010-04-21,54,-25,NA,11.9
2010-04-22,43,-11,NA,12.3
2010-04-23,38,-5,NA,12.1
2010-04-24,32,-6,NA,12.4
2010-04-25,23,-9,NA,12.8
2010-04-26,-3,-26,NA,13
2010-04-27,-14,-11,NA,13.9
2010-04-28,-10,4,NA,14.4
2010-04-29,-2,8,NA,14.5
2010-04-30,1,3,NA,14.7
2010-05-01,-8,-9,NA,15.4
2010-05-02,-13,-5,NA,16
2010-05-03,-9,4,NA,16
2010-05-04,8,17,NA,16.4
2010-05-05,24,16,NA,17.3
2010-05-06,41,17,NA,17.4
2010-05-07,52,11,NA,16.7
2010-05-08,66,14,NA,16.5
2010-05-09,111,45,NA,16.7
2010-05-10,131,20,NA,16
2010-05-11,117,-14,NA,15.9
2010-05-12,94,-23,NA,16.4
2010-05-13,69,-25,NA,16.1
2010-05-14,64,-5,NA,16.2
2010-05-15,72,8,NA,16.3
2010-05-16,118,46,NA,15.2
2010-05-17,194,76,NA,14
2010-05-18,220,26,NA,12.8
2010-05-19,246,26,NA,11.9
2010-05-20,253,7,NA,11.7
2010-05-21,NA,NA,NA,NA
2010-05-22,265,7,NA,12.5
2010-05-23,279,14,NA,NA
2010-05-24,304,25,NA,12.5
2010-05-25,323,19,NA,14.4
2010-05-26,307,-16,NA,14.6
2010-05-27,307,-16,NA,14.6
2010-05-28,244,-28,NA,15.7
2010-05-29,NA,NA,NA,NA
2010-05-30,249,10,NA,15.9
2010-05-31,255,6,NA,NA
2010-06-01,253,-2,NA,16.2
2010-06-02,257,4,NA,15.9
2010-06-03,257,4,NA,15.9
2010-06-04,400,88,NA,15.1
2010-06-05,479,79,NA,15.9
2010-06-06,546,67,NA,15.6
2010-06-07,546,67,NA,15.6
2010-06-08,546,67,NA,15.6
2010-06-09,653,13,NA,15.5
2010-06-10,637,-16,NA,16.5
2010-06-11,602,-35,NA,17.8
2010-06-12,547,-55,NA,18.9
2010-06-13,481,-66,NA,19.8
2010-06-14,481,-66,NA,19.8
2010-06-15,380,-44,NA,20.6
2010-06-16,380,-44,NA,20.6
2010-06-17,350,-9,NA,20.2
2010-06-18,322,-28,NA,20
2010-06-19,318,-4,NA,NA
2010-06-20,302,-16,NA,18.8
2010-06-21,294,-8,NA,NA
2010-06-22,307,13,NA,17.8
2010-06-23,363,56,NA,17
2010-06-24,390,27,NA,NA
2010-06-25,376,-14,NA,16.3
2010-06-26,336,-40,NA,16.1
2010-06-27,293,-43,NA,16.3
2010-06-28,246,-47,NA,16.5
2010-06-29,198,-48,NA,17.6
2010-06-30,154,-44,NA,18.2
2010-07-01,127,-27,NA,19.7
2010-07-02,103,-24,NA,20.3
2010-07-03,92,-11,NA,20.7
2010-07-04,82,-10,NA,21.2
2010-07-05,72,-10,NA,21.3
2010-07-06,57,-15,NA,22
2010-07-07,56,-1,NA,21
2010-07-08,139,83,NA,21.2
2010-07-09,162,23,NA,21.5
2010-07-10,135,-27,NA,21.7
2010-07-11,97,-38,NA,21.9
2010-07-12,61,-36,NA,22.2
2010-07-13,44,-17,NA,23
2010-07-14,22,-22,NA,23.6
2010-07-15,1,-21,NA,24.3
2010-07-16,-1,-2,NA,24.9
2010-07-17,5,6,NA,24.7
2010-07-18,-2,-7,NA,25.4
2010-07-19,-8,-6,NA,24.2
2010-07-20,8,16,NA,24.3
2010-07-21,84,76,NA,24.6
2010-07-22,86,2,NA,24.4
2010-07-23,67,-19,NA,24.5
2010-07-24,36,-31,NA,25.1
2010-07-25,4,-32,NA,24.6
2010-07-26,34,30,NA,22.2
2010-07-27,171,137,NA,21.6
2010-07-28,250,79,NA,NA
2010-07-29,240,-10,NA,20.8
2010-07-30,201,-39,NA,20.4
2010-07-31,182,-19,NA,20.3
2010-08-01,193,11,NA,19.9
2010-08-02,221,28,NA,20
2010-08-03,222,1,NA,20.2
2010-08-04,192,-30,NA,20.3
2010-08-05,161,-31,NA,20.1
2010-08-06,187,26,NA,20.3
