"date","level","change24h","discharge","temperature"
2010-01-01,170,-16,NA,3.4
2010-01-02,168,-2,NA,3.5
2010-01-03,192,24,NA,3
2010-01-04,200,8,NA,3
2010-01-05,192,-8,NA,3
2010-01-06,162,-30,NA,2.5
2010-01-07,149,-13,NA,2
2010-01-08,146,-3,NA,2.1
2010-01-09,150,4,NA,2.5
2010-01-10,170,24,NA,8.2
2010-01-11,182,18,NA,2.5
2010-01-12,176,-6,NA,2.9
2010-01-13,164,-12,NA,2.9
2010-01-14,157,-7,NA,3
2010-01-15,150,-7,NA,3
2010-01-16,140,-10,NA,2.7
2010-01-17,125,-15,NA,2.7
2010-01-18,117,-8,NA,2.8
2010-01-19,116,-1,NA,2.6
2010-01-20,115,-1,NA,2.5
2010-01-21,130,15,NA,2.7
2010-01-22,130,0,NA,2.5
2010-01-23,123,-7,NA,2
2010-01-24,118,-5,NA,2
2010-01-25,109,-9,NA,2
2010-01-26,102,-7,NA,2
2010-01-27,80,-22,NA,1.9
2010-01-28,79,-1,NA,1.9
2010-01-29,78,-1,NA,1.8
2010-01-30,88,10,NA,1.8
2010-01-31,88,0,NA,1.8
2010-02-01,84,-4,NA,1.7
2010-02-02,86,2,NA,1.6
2010-02-03,84,-2,NA,1.6
2010-02-04,83,-1,NA,1.3
2010-02-05,86,3,NA,1.5
2010-02-06,105,19,NA,1.5
2010-02-07,114,9,NA,1.5
2010-02-08,103,-11,NA,0.6
2010-02-09,102,-1,NA,0.2
2010-02-10,101,-1,NA,1
2010-02-11,100,-1,NA,1.2
2010-02-12,94,-6,NA,1.4
2010-02-13,101,7,NA,1.3
2010-02-14,97,-4,NA,1.2
2010-02-15,95,-2,NA,1.5
2010-02-16,77,-18,NA,1.4
2010-02-17,70,-7,NA,1.5
2010-02-18,71,1,NA,1.7
2010-02-19,72,1,NA,1.7
2010-02-20,85,13,NA,1.5
2010-02-21,111,26,NA,2
2010-02-22,134,23,NA,2.5
2010-02-23,149,15,NA,2.9
2010-02-24,150,1,NA,3.5
2010-02-25,150,0,NA,3.8
