"date","level","change24h","discharge","temperature"
2010-01-01,87,-3,NA,2.9
2010-01-02,116,29,NA,2.9
2010-01-03,149,33,NA,2.8
2010-01-04,141,-8,NA,2.5
2010-01-05,112,-29,NA,2.2
2010-01-06,89,-23,NA,2
2010-01-07,87,-2,NA,2
2010-01-08,82,-5,NA,1.9
2010-01-09,82,0,NA,2.3
2010-01-10,139,9,NA,7.4
2010-01-11,63,-13,NA,2.6
2010-01-12,64,1,NA,2.5
2010-01-13,62,-2,NA,2.2
2010-01-14,62,0,NA,2.1
2010-01-15,61,-1,NA,2.1
2010-01-16,49,-12,NA,2.2
2010-01-17,44,-5,NA,2.1
2010-01-18,45,1,NA,2.1
2010-01-19,43,-2,NA,1.9
2010-01-20,60,17,NA,2
2010-01-21,67,7,NA,NA
2010-01-22,64,-3,NA,1.7
2010-01-23,55,-9,NA,1.3
2010-01-24,46,-9,NA,0.9
2010-01-25,36,-10,NA,0.6
2010-01-26,19,-17,NA,0.5
2010-01-27,20,1,NA,0.2
2010-01-28,16,-4,NA,0.1
2010-01-29,21,5,NA,0.2
2010-01-30,24,3,NA,0.5
2010-01-31,18,-6,NA,0.8
2010-02-01,16,-2,NA,0.6
2010-02-02,19,3,NA,0.9
2010-02-03,16,-3,NA,1
2010-02-04,19,3,NA,1.2
2010-02-05,34,15,NA,1.4
2010-02-06,57,23,NA,1.5
2010-02-07,47,-10,NA,1.6
2010-02-08,37,-10,NA,1.4
2010-02-09,40,3,NA,1.3
2010-02-10,46,6,NA,1.3
2010-02-11,34,-12,NA,NA
2010-02-12,45,11,NA,NA
2010-02-13,39,-6,NA,1.3
2010-02-14,39,0,NA,1.3
2010-02-15,22,-17,NA,1.7
2010-02-16,5,-17,NA,1.8
2010-02-17,7,2,NA,2.1
2010-02-18,11,4,NA,2.4
2010-02-19,13,2,NA,2.6
2010-02-20,17,4,NA,3
2010-02-21,26,9,NA,2.8
2010-02-22,65,39,NA,2.9
2010-02-23,71,6,NA,3.2
2010-02-24,73,2,NA,3.3
2010-02-25,78,5,NA,3.6
2010-02-26,118,40,NA,4
2010-02-27,164,46,NA,4.4
2010-02-28,234,70,NA,4.6
2010-03-01,252,18,NA,4.9
2010-03-02,252,0,NA,5.3
2010-03-03,273,21,NA,5.3
2010-03-04,248,-25,NA,5.6
2010-03-05,235,-13,NA,5.3
2010-03-06,201,-34,NA,4.5
2010-03-07,174,-27,NA,4.1
2010-03-08,154,-20,NA,3.5
2010-03-09,131,-23,NA,3.3
2010-03-10,120,-11,NA,3.2
2010-03-11,108,-12,NA,NA
2010-03-12,81,-27,NA,3.6
2010-03-13,83,2,NA,3.8
2010-03-14,65,-18,NA,3.8
2010-03-15,62,-3,NA,3.9
2010-03-16,63,1,NA,4.1
2010-03-17,78,15,NA,4.2
2010-03-18,115,37,NA,4.5
2010-03-19,126,11,NA,4.8
2010-03-20,135,9,NA,5.4
2010-03-21,130,-5,NA,6.1
2010-03-22,140,10,NA,6.5
2010-03-23,194,54,NA,6.9
2010-03-24,228,34,NA,7.1
2010-03-25,228,0,NA,8
2010-03-26,227,-1,NA,8.8
2010-03-27,235,8,NA,9.7
2010-03-28,232,-3,NA,9.7
2010-03-29,232,0,NA,9.9
2010-03-30,224,-8,NA,10.1
