"date","level","change24h","discharge","temperature"
2010-01-01,204,12,1420,2.1
2010-01-02,246,42,1660,2.3
2010-01-03,282,36,1880,2.5
2010-01-04,264,-18,1770,2.3
2010-01-05,222,-42,1520,2.3
2010-01-06,205,-17,1420,2.1
2010-01-07,202,-3,1410,1.9
2010-01-08,196,-6,1380,1.9
2010-01-09,193,-3,1360,2.2
2010-01-10,275,7,1840,7.5
2010-01-11,162,-23,1210,2.4
2010-01-12,159,-3,1200,2.4
2010-01-13,159,0,1200,2.1
2010-01-14,162,3,1210,1.7
2010-01-15,166,4,1230,1.7
2010-01-16,145,-21,1140,1.8
2010-01-17,150,5,1160,1.7
2010-01-18,147,-3,1150,1.6
2010-01-19,149,2,1160,1.5
2010-01-20,176,27,1280,1.4
2010-01-21,177,1,1280,1.5
2010-01-22,173,-4,1260,1.4
2010-01-23,167,-6,1240,1.2
2010-01-24,151,-16,1170,0.8
2010-01-25,137,-14,1110,0.6
2010-01-26,117,-20,1030,0.4
2010-01-27,126,9,1060,0
2010-01-28,123,-3,1050,0
2010-01-29,128,5,1070,-0.1
2010-01-30,127,-1,1070,0.1
2010-01-31,118,-9,1030,0.1
2010-02-01,119,1,1040,0.2
2010-02-02,121,2,1040,0.6
2010-02-03,119,-2,1040,0.6
2010-02-04,122,3,1050,0.8
2010-02-05,150,28,1160,1
2010-02-06,171,21,1260,1.1
2010-02-07,154,-17,1180,1.1
2010-02-08,147,-7,1150,1.1
2010-02-09,150,3,1160,1
2010-02-10,160,10,1210,0.9
2010-02-11,143,-17,1130,1.1
2010-02-12,158,15,1200,1.2
2010-02-13,149,-9,1160,1
2010-02-14,148,-1,1150,0.9
2010-02-15,122,-26,1050,1.2
2010-02-16,109,-13,1000,1.3
2010-02-17,111,2,1000,1.6
2010-02-18,119,8,1040,1.8
2010-02-19,119,0,1040,1.8
2010-02-20,117,-2,1030,2.2
2010-02-21,130,13,1080,2.2
2010-02-22,177,47,1280,2.4
2010-02-23,176,-1,1280,2.5
2010-02-24,176,0,1280,2.6
2010-02-25,181,5,1300,2.8
2010-02-26,241,60,1630,3.2
2010-02-27,290,49,1930,3.8
2010-02-28,371,81,2460,4.1
2010-03-01,378,7,2510,4.2
2010-03-02,377,-1,2500,4.9
2010-03-03,406,29,2720,5
2010-03-04,367,-39,2430,5.3
2010-03-05,357,-10,2370,5.1
2010-03-06,325,-32,2160,4.4
2010-03-07,291,-34,1940,3.9
2010-03-08,271,-20,1810,3.5
2010-03-09,246,-25,1660,3.4
2010-03-10,233,-13,1580,3.1
2010-03-11,221,-12,1510,3.3
2010-03-12,190,-31,1350,3.3
2010-03-13,198,8,1390,3.4
2010-03-14,175,-23,1270,3.4
2010-03-15,169,-6,1250,3.4
2010-03-16,167,-2,1240,3.5
2010-03-17,196,29,1380,3.6
2010-03-18,235,39,1600,3.9
2010-03-19,253,18,1700,4.1
2010-03-20,266,13,1780,4.6
2010-03-21,253,-13,1700,5.2
2010-03-22,270,17,1810,5.6
2010-03-23,337,67,2240,6.1
2010-03-24,367,30,2430,6.4
2010-03-25,359,-8,2380,7.2
2010-03-26,364,5,2410,8.2
2010-03-27,374,10,2480,9.1
2010-03-28,369,-5,2440,9.3
2010-03-29,360,-9,2390,9.4
2010-03-30,353,-7,2410,9.6
2010-03-31,345,-8,2350,10
2010-04-01,339,-6,2310,9.8
2010-04-02,330,-9,2250,9.7
2010-04-03,282,-48,1930,9.7
2010-04-04,276,-6,1890,9.8
2010-04-05,252,-24,1740,10
2010-04-06,249,-3,1730,9.6
2010-04-07,265,16,1820,9.5
2010-04-08,234,-31,1640,9.9
2010-04-09,230,-4,1620,10.2
2010-04-10,226,-4,1600,10.5
2010-04-11,221,-5,1570,10.3
2010-04-12,225,4,1590,10.1
2010-04-13,217,-8,1550,9.9
2010-04-14,224,7,1590,9.7
2010-04-15,229,5,1620,9.9
2010-04-16,315,86,2140,9.7
2010-04-17,283,-32,1930,9.8
2010-04-18,257,-26,1770,10.2
2010-04-19,235,-22,1650,10.7
2010-04-20,244,9,1700,10.9
2010-04-21,243,-1,1690,11.2
2010-04-22,246,3,1710,11.7
2010-04-23,239,-7,1670,11.8
2010-04-24,209,-30,1510,11.7
2010-04-25,202,-7,1470,11.9
2010-04-26,215,13,1540,12.3
2010-04-27,236,21,1650,13.1
2010-04-28,247,11,1720,13.4
2010-04-29,236,-11,1650,13.4
