"date","level","change24h","discharge","temperature"
2010-01-01,376,-18,2500,4
2010-01-02,360,-16,2400,3.6
2010-01-03,342,-18,2300,3.4
2010-01-04,338,-4,2200,3
2010-01-05,348,10,2330,3
2010-01-06,356,8,2320,2
2010-01-07,349,-7,2250,2
2010-01-08,331,-18,2130,2
2010-01-09,316,-15,2150,3
2010-01-10,226,6,1660,8
2010-01-11,305,-2,2090,3
2010-01-12,317,12,2130,3
2010-01-13,335,18,2260,3
2010-01-14,339,4,2210,3
2010-01-15,331,-8,2240,3
2010-01-16,321,-10,2180,3
2010-01-17,311,-10,2120,2.9
2010-01-18,298,-13,1960,2.7
2010-01-19,284,-14,1980,2.6
2010-01-20,271,-13,1910,2.7
2010-01-21,264,-7,1810,3
2010-01-22,263,-1,1820,2.6
2010-01-23,267,4,1890,NA
2010-01-24,269,2,1900,2
2010-01-25,266,-3,1840,2
2010-01-26,258,-8,1790,2
2010-01-27,248,-10,1790,1
2010-01-28,236,-12,1660,1
2010-01-29,216,-20,1560,1
2010-01-30,205,-11,1590,0
2010-01-31,211,6,1610,0.5
2010-02-01,211,0,1580,0.5
2010-02-02,208,-3,1600,0
2010-02-03,209,1,1560,1
2010-02-04,209,0,1570,1
2010-02-05,206,-3,1550,1
2010-02-06,203,-3,1570,1
2010-02-07,201,-2,1560,1
2010-02-08,212,11,1610,1
2010-02-09,224,12,1670,1
2010-02-10,225,1,1660,2
2010-02-11,223,-2,1640,NA
2010-02-12,221,-2,1660,NA
2010-02-13,219,-2,1650,2
2010-02-14,219,0,1650,2.1
2010-02-15,219,0,1630,2
2010-02-16,218,-1,1620,2
2010-02-17,214,-4,1590,2
2010-02-18,202,-12,1530,3
2010-02-19,191,-11,1470,3
2010-02-20,187,-4,1500,3.3
2010-02-21,190,3,1520,4
2010-02-22,204,14,1570,4
2010-02-23,234,30,1720,4.2
2010-02-24,264,30,1870,4.3
2010-02-25,282,18,1960,4
2010-02-26,292,10,2000,4
2010-02-27,304,12,2080,5
2010-02-28,325,21,2200,5
2010-03-01,374,49,2610,5
2010-03-02,442,68,3070,5
2010-03-03,491,49,3320,5
2010-03-04,511,20,3380,5
2010-03-05,520,9,3420,5
2010-03-06,521,1,3450,5
2010-03-07,508,-13,3360,5
2010-03-08,480,-28,3160,5.1
2010-03-09,447,-33,2950,5
2010-03-10,417,-30,2570,5
2010-03-11,394,-23,2430,NA
2010-03-12,367,-27,2300,4
2010-03-13,343,-24,2300,4
