"date","level","change24h","discharge","temperature"
2010-01-01,NA,NA,NA,NA
2010-01-02,NA,NA,NA,NA
2010-01-03,NA,NA,NA,NA
2010-01-04,NA,NA,NA,NA
2010-01-05,NA,NA,NA,NA
2010-01-06,NA,NA,NA,NA
2010-01-07,NA,NA,NA,NA
2010-01-08,NA,NA,NA,NA
2010-01-09,NA,NA,NA,NA
2010-01-10,43,0,1,NA
2010-01-11,323,6,68.6,1.4
2010-01-12,316,-7,64.1,1.8
2010-01-13,289,-27,50.3,1.9
2010-01-14,242,-47,35.2,2.1
2010-01-15,210,-32,27.8,2.3
2010-01-16,186,-24,23,2.5
2010-01-17,169,-17,20,2.6
2010-01-18,146,-23,16,2.7
2010-01-19,133,-13,13.9,2.8
2010-01-20,128,-5,13.1,3
2010-01-21,123,-5,12.3,3
2010-01-22,NA,NA,NA,NA
2010-01-23,NA,NA,NA,NA
2010-01-24,NA,NA,NA,NA
2010-01-25,NA,NA,NA,NA
2010-01-26,NA,NA,NA,NA
2010-01-27,88,NA,7.1,0.1
2010-01-28,97,9,8.3,0.1
2010-01-29,98,1,8.4,NA
2010-01-30,88,-10,7.1,NA
2010-01-31,88,0,7.1,NA
2010-02-01,85,-3,6.7,NA
2010-02-02,85,0,6.7,NA
2010-02-03,93,8,7.7,0
2010-02-04,92,-1,7.7,0
2010-02-05,86,-6,6.8,NA
2010-02-06,89,3,7.2,NA
2010-02-07,84,-5,NA,NA
2010-02-08,81,-3,6.1,NA
2010-02-09,80,-1,6,NA
2010-02-10,74,-6,5.2,NA
2010-02-11,74,0,5.2,NA
2010-02-12,78,4,5.8,NA
2010-02-13,81,3,6.1,NA
2010-02-14,83,2,6.4,NA
2010-02-15,81,-2,6.1,NA
2010-02-16,77,-4,5.6,NA
2010-02-17,76,-1,5.6,NA
2010-02-18,75,-1,5.3,NA
2010-02-19,78,3,5.7,NA
2010-02-20,132,54,13.8,NA
2010-02-21,313,181,62.2,NA
2010-02-22,321,8,67.3,NA
2010-02-23,311,-10,61,NA
2010-02-24,276,-35,45.8,NA
2010-02-25,288,12,49.9,NA
2010-02-26,291,3,50.9,NA
2010-02-27,330,39,73,NA
2010-02-28,329,-1,72.4,NA
2010-03-01,321,-8,67.3,NA
2010-03-02,307,-14,58.4,NA
2010-03-03,266,-41,42.4,NA
2010-03-04,231,-35,32.6,NA
2010-03-05,203,-28,26.2,NA
2010-03-06,185,-18,22.8,NA
2010-03-07,166,-19,19.4,NA
2010-03-08,156,-10,17.7,NA
2010-03-09,139,-17,14.9,NA
2010-03-10,118,-21,11.5,0
2010-03-11,126,8,12.7,NA
2010-03-12,120,-5,11.9,NA
2010-03-13,121,1,12,NA
2010-03-14,119,-2,11.7,NA
2010-03-15,121,2,12,NA
2010-03-16,114,-7,10.9,NA
2010-03-17,105,-9,9.4,NA
2010-03-18,101,-4,8.8,NA
2010-03-19,98,-3,8.3,NA
2010-03-20,101,3,8.8,NA
2010-03-21,103,2,9.1,NA
2010-03-22,107,4,9.8,NA
2010-03-23,108,1,9.9,NA
