"date","level","change24h","discharge","temperature"
2010-01-01,2280,0,NA,3
2010-01-02,2295,15,NA,3
2010-01-03,2270,-25,NA,3
2010-01-04,2240,-30,NA,2.5
2010-01-05,2230,-10,NA,2.5
2010-01-06,2210,-20,NA,2.5
2010-01-07,2240,30,NA,2.5
2010-01-08,2250,10,NA,2.5
2010-01-09,2170,-80,NA,3
2010-01-10,2515,5,NA,11
2010-01-11,2120,-30,NA,3
2010-01-12,2110,-10,NA,3
2010-01-13,2115,5,NA,3
2010-01-14,2118,3,NA,3
2010-01-15,2115,-3,NA,3
2010-01-16,2122,7,NA,3
2010-01-17,2122,0,NA,3
2010-01-18,2112,-10,NA,3.2
2010-01-19,2180,68,NA,3.2
2010-01-20,2260,80,NA,3
2010-01-21,2285,25,NA,3
2010-01-22,2290,5,NA,2.2
2010-01-23,2350,60,NA,2
2010-01-24,2400,50,NA,2
2010-01-25,2400,0,NA,2
2010-01-26,2410,10,NA,2
2010-01-27,2420,10,NA,2
2010-01-28,2415,-5,NA,2
2010-01-29,2460,45,NA,2
2010-01-30,2410,-50,NA,1.5
2010-01-31,2470,60,NA,NA
2010-02-01,2510,40,NA,1.5
2010-02-02,2530,20,NA,1.5
2010-02-03,2500,-30,NA,1.5
2010-02-04,2495,-5,NA,1
2010-02-05,2490,-5,NA,1
2010-02-06,2485,-5,NA,1
2010-02-07,2485,0,NA,1
2010-02-08,2520,35,NA,1
2010-02-09,2500,-20,NA,1
2010-02-10,2490,-10,NA,1
2010-02-11,2470,-20,NA,1
2010-02-12,2510,40,NA,1
2010-02-13,2500,-10,NA,1
2010-02-14,2505,5,NA,1
2010-02-15,2497,-8,NA,1
2010-02-16,2510,13,NA,1
2010-02-17,2480,-30,NA,1.5
2010-02-18,2470,-10,NA,1.5
2010-02-19,2490,20,NA,1.5
2010-02-20,2490,0,NA,2
2010-02-21,2495,5,NA,2
2010-02-22,2430,-65,NA,2.5
2010-02-23,2310,-120,NA,3
2010-02-24,2310,0,NA,3
2010-02-25,2300,-10,NA,3.5
2010-02-26,2250,-50,NA,3.5
2010-02-27,2180,-70,NA,4
2010-02-28,2100,-80,NA,4
2010-03-01,2090,-10,NA,4.5
