"date","level","change24h","discharge","temperature"
2010-01-01,493,87,NA,NA
2010-01-02,494,1,NA,NA
2010-01-03,470,-24,NA,NA
2010-01-04,453,-17,NA,NA
2010-01-05,428,-25,NA,NA
2010-01-06,403,-25,NA,NA
2010-01-07,393,-10,NA,NA
2010-01-08,378,-15,NA,NA
2010-01-09,372,-6,NA,NA
2010-01-10,414,-3,NA,NA
2010-01-11,356,-10,NA,NA
2010-01-12,360,4,NA,NA
2010-01-13,354,-6,NA,NA
2010-01-14,334,-20,NA,NA
2010-01-15,340,6,NA,NA
2010-01-16,343,3,NA,NA
2010-01-17,334,-9,NA,NA
2010-01-18,344,10,NA,NA
2010-01-19,396,52,NA,NA
2010-01-20,407,11,NA,NA
2010-01-21,387,-20,NA,NA
2010-01-22,376,-11,NA,NA
2010-01-23,370,-6,NA,NA
2010-01-24,355,-15,NA,NA
2010-01-25,351,-4,NA,NA
2010-01-26,342,-9,NA,NA
2010-01-27,334,-8,NA,NA
2010-01-28,321,-13,NA,NA
2010-01-29,330,9,NA,NA
2010-01-30,335,5,NA,NA
2010-01-31,335,0,NA,NA
2010-02-01,332,-3,NA,NA
2010-02-02,324,-8,NA,NA
2010-02-03,324,0,NA,NA
2010-02-04,327,3,NA,NA
2010-02-05,347,20,NA,NA
2010-02-06,360,13,NA,NA
2010-02-07,362,2,NA,NA
2010-02-08,367,5,NA,NA
2010-02-09,373,6,NA,NA
2010-02-10,356,-17,NA,NA
2010-02-11,350,-6,NA,NA
2010-02-12,337,-13,NA,NA
2010-02-13,342,5,NA,NA
2010-02-14,342,0,NA,NA
2010-02-15,333,-9,NA,NA
2010-02-16,321,-11,NA,NA
2010-02-17,326,5,NA,NA
2010-02-18,324,-2,NA,NA
2010-02-19,321,-3,NA,NA
2010-02-20,327,6,NA,NA
2010-02-21,336,9,NA,NA
2010-02-22,343,7,NA,NA
2010-02-23,344,1,NA,NA
2010-02-24,347,3,NA,NA
2010-02-25,415,68,NA,NA
2010-02-26,460,45,NA,NA
2010-02-27,499,39,NA,NA
2010-02-28,552,53,NA,NA
2010-03-01,548,-4,NA,NA
2010-03-02,558,10,NA,NA
2010-03-03,546,-12,NA,NA
2010-03-04,518,-28,NA,NA
2010-03-05,488,-30,NA,NA
2010-03-06,456,-32,NA,NA
2010-03-07,439,-17,NA,NA
2010-03-08,423,-16,NA,NA
2010-03-09,416,-7,NA,NA
2010-03-10,394,-22,NA,NA
2010-03-11,393,-1,NA,NA
2010-03-12,383,-10,NA,NA
2010-03-13,385,2,NA,NA
2010-03-14,380,-5,NA,NA
2010-03-15,376,-4,NA,NA
2010-03-16,379,3,NA,NA
2010-03-17,411,32,NA,NA
2010-03-18,442,31,NA,NA
2010-03-19,427,-15,NA,NA
2010-03-20,421,-6,NA,NA
2010-03-21,419,-2,NA,NA
2010-03-22,449,30,NA,NA
2010-03-23,511,62,NA,NA
2010-03-24,504,-7,NA,NA
2010-03-25,480,-24,NA,NA
2010-03-26,471,-9,NA,NA
2010-03-27,456,-15,NA,NA
2010-03-28,456,-15,NA,NA
2010-03-29,475,7,NA,NA
2010-03-30,473,-2,NA,NA
2010-03-31,476,3,NA,NA
2010-04-01,457,-19,NA,NA
2010-04-02,439,-18,NA,NA
2010-04-03,419,-20,NA,NA
2010-04-04,408,-11,NA,NA
2010-04-05,403,-5,NA,NA
2010-04-06,394,-10,NA,NA
2010-04-07,388,-5,NA,NA
2010-04-08,385,-3,NA,NA
2010-04-09,381,-4,NA,NA
2010-04-10,367,-14,NA,NA
2010-04-11,376,9,NA,NA
2010-04-12,369,-7,NA,NA
2010-04-13,366,-3,NA,NA
2010-04-14,360,-6,NA,NA
2010-04-15,363,3,NA,NA
2010-04-16,381,18,NA,NA
2010-04-17,372,-9,NA,NA
2010-04-18,354,-18,NA,NA
2010-04-19,344,-10,NA,NA
2010-04-20,351,7,NA,NA
2010-04-21,349,-2,NA,NA
2010-04-22,346,-3,NA,NA
2010-04-23,339,-7,NA,NA
2010-04-24,334,-5,NA,NA
2010-04-25,330,-4,NA,NA
2010-04-26,329,1,NA,NA
2010-04-27,338,9,NA,NA
2010-04-28,340,2,NA,NA
2010-04-29,336,-4,NA,NA
2010-04-30,334,-2,NA,NA
2010-05-01,NA,NA,NA,NA
2010-05-02,336,8,NA,NA
2010-05-03,361,25,NA,NA
2010-05-04,380,19,NA,NA
2010-05-05,388,8,NA,NA
2010-05-06,368,-20,NA,NA
2010-05-07,378,10,NA,NA
2010-05-08,380,2,NA,NA
2010-05-09,386,6,NA,NA
2010-05-10,365,-21,NA,NA
2010-05-11,368,3,NA,NA
2010-05-12,377,9,NA,NA
2010-05-13,397,20,NA,NA
2010-05-14,397,0,NA,NA
2010-05-15,409,12,NA,NA
2010-05-16,422,13,NA,NA
2010-05-17,398,-24,NA,NA
2010-05-18,383,-15,NA,NA
2010-05-19,380,-3,NA,NA
2010-05-20,371,-9,NA,NA
2010-05-21,NA,NA,NA,NA
2010-05-22,391,-3,NA,NA
2010-05-23,388,-3,NA,NA
2010-05-24,364,-24,NA,NA
2010-05-25,370,6,NA,NA
2010-05-26,354,-16,NA,NA
2010-05-27,354,-16,NA,NA
2010-05-28,406,37,NA,NA
2010-05-29,NA,NA,NA,NA
2010-05-30,398,-13,NA,NA
2010-05-31,407,9,NA,NA
2010-06-01,479,72,NA,NA
2010-06-02,495,16,NA,NA
2010-06-03,495,16,NA,NA
2010-06-04,585,85,NA,NA
2010-06-05,681,96,NA,NA
2010-06-06,611,-70,NA,NA
2010-06-07,611,-70,NA,NA
2010-06-08,611,-70,NA,NA
2010-06-09,472,-37,NA,NA
2010-06-10,448,-24,NA,NA
2010-06-11,439,-9,NA,NA
2010-06-12,415,-24,NA,NA
2010-06-13,406,-9,NA,NA
2010-06-14,406,-9,NA,NA
2010-06-15,419,15,NA,NA
2010-06-16,419,15,NA,NA
2010-06-17,405,-27,NA,NA
2010-06-18,424,19,NA,NA
2010-06-19,484,59,NA,NA
2010-06-20,541,57,NA,NA
2010-06-21,567,26,NA,NA
2010-06-22,542,-25,NA,NA
2010-06-23,504,-38,NA,NA
2010-06-24,463,-38,NA,NA
2010-06-25,431,-32,NA,NA
2010-06-26,421,-10,NA,NA
2010-06-27,402,-19,NA,NA
2010-06-28,390,-12,NA,NA
2010-06-29,380,-10,NA,NA
2010-06-30,375,-4,NA,NA
2010-07-01,366,-9,NA,NA
2010-07-02,346,-20,NA,NA
2010-07-03,343,-3,NA,NA
2010-07-04,332,-11,NA,NA
2010-07-05,NA,NA,NA,NA
2010-07-06,329,13,NA,NA
2010-07-07,343,14,NA,NA
2010-07-08,316,-27,NA,NA
2010-07-09,323,7,NA,NA
2010-07-10,318,-5,NA,NA
2010-07-11,300,-18,NA,NA
2010-07-12,295,-5,NA,NA
2010-07-13,304,9,NA,NA
2010-07-14,332,28,NA,NA
2010-07-15,327,-5,NA,NA
2010-07-16,325,-2,NA,NA
2010-07-17,321,-4,NA,NA
2010-07-18,321,0,NA,NA
2010-07-19,392,71,NA,NA
2010-07-20,387,-5,NA,NA
2010-07-21,357,-30,NA,NA
2010-07-22,336,-21,NA,NA
2010-07-23,323,-13,NA,NA
2010-07-24,370,47,NA,NA
2010-07-25,509,139,NA,NA
2010-07-26,554,45,NA,NA
2010-07-27,476,-78,NA,NA
2010-07-28,443,-33,NA,NA
2010-07-29,480,37,NA,NA
2010-07-30,438,-42,NA,NA
2010-07-31,491,53,NA,NA
2010-08-01,468,-23,NA,NA
2010-08-02,422,-46,NA,NA
2010-08-03,425,3,NA,NA
2010-08-04,451,26,NA,NA
2010-08-05,480,29,NA,NA
2010-08-06,468,-12,NA,NA
2010-08-07,558,90,NA,NA
2010-08-08,670,112,NA,NA
2010-08-09,677,7,NA,NA
2010-08-10,588,-89,NA,NA
2010-08-11,531,-52,NA,NA
2010-08-12,474,-57,NA,NA
2010-08-13,489,15,NA,NA
2010-08-14,482,-7,NA,NA
2010-08-15,465,-17,NA,NA
2010-08-16,439,-26,NA,NA
2010-08-17,437,-2,NA,NA
2010-08-18,445,8,NA,NA
2010-08-19,458,13,NA,NA
2010-08-20,425,-33,NA,NA
2010-08-21,410,-15,NA,NA
2010-08-22,391,-19,NA,NA
2010-08-23,379,-12,NA,NA
2010-08-24,374,-5,NA,NA
2010-08-25,386,12,NA,NA
2010-08-26,384,-2,NA,NA
2010-08-27,382,-2,NA,NA
2010-08-28,369,-13,NA,NA
2010-08-29,413,44,NA,NA
2010-08-30,503,90,NA,NA
2010-08-31,470,-33,NA,NA
2010-09-01,546,76,NA,NA
2010-09-02,597,51,NA,NA
2010-09-03,548,-49,NA,NA
2010-09-04,484,-64,NA,NA
2010-09-05,447,-37,NA,NA
2010-09-06,431,-16,NA,NA
2010-09-07,427,-4,NA,NA
2010-09-08,418,-9,NA,NA
2010-09-09,416,-2,NA,NA
2010-09-10,416,0,NA,NA
2010-09-11,396,-20,NA,NA
2010-09-12,382,-14,NA,NA
2010-09-13,350,-32,NA,NA
2010-09-14,370,20,NA,NA
2010-09-15,387,17,NA,NA
2010-09-16,375,-12,NA,NA
2010-09-17,363,-12,NA,NA
2010-09-18,366,3,NA,NA
2010-09-19,354,-12,NA,NA
2010-09-20,336,-18,NA,NA
2010-09-21,328,-8,NA,NA
2010-09-22,335,8,NA,NA
2010-09-23,324,-11,NA,NA
2010-09-24,321,-3,NA,NA
2010-09-25,314,-7,NA,NA
2010-09-26,347,33,NA,NA
2010-09-27,395,48,NA,NA
2010-09-28,385,-10,NA,NA
2010-09-29,367,-18,NA,NA
2010-09-30,356,-12,NA,NA
2010-10-01,373,16,NA,NA
2010-10-02,363,-10,NA,NA
2010-10-03,351,-12,NA,NA
2010-10-04,342,-9,NA,NA
2010-10-05,327,-15,NA,NA
2010-10-06,325,-2,NA,NA
2010-10-07,326,1,NA,NA
2010-10-08,327,1,NA,NA
2010-10-09,325,-2,NA,NA
2010-10-10,314,-11,NA,NA
2010-10-11,313,-1,NA,NA
2010-10-12,315,2,NA,NA
2010-10-13,312,-3,NA,NA
2010-10-14,310,-3,NA,NA
