"date","level","change24h","discharge","temperature"
2010-01-01,-54,-6,42.1,3.7
2010-01-02,-57,-3,40.6,4
2010-01-03,-63,-6,37.6,3.2
2010-01-04,-68,-5,35.1,2.5
2010-01-05,-74,-6,32.1,2.3
2010-01-06,-77,-3,30.7,1.6
2010-01-07,-77,0,30.7,1.5
2010-01-08,-77,0,30.6,1.6
2010-01-09,-76,1,31,2
2010-01-10,-68,-1,35,6.2
2010-01-11,-11,57,64.4,2.3
2010-01-12,-16,-5,62.2,2.4
2010-01-13,-36,-20,51.4,2.4
2010-01-14,-49,-13,44.7,2.7
2010-01-15,-58,-9,40.1,2.7
2010-01-16,-63,-5,37.6,2.7
2010-01-17,-69,-6,34.6,2.6
2010-01-18,-71,-2,33.7,2.5
2010-01-19,-74,-3,32,2.8
2010-01-20,-74,0,32,2.9
2010-01-21,-74,0,NA,NA
2010-01-22,-76,-2,31,1.6
2010-01-23,-80,-4,29.1,0.8
2010-01-24,-83,-3,27.5,0.1
2010-01-25,-83,0,27.2,0.5
2010-01-26,-88,-5,25.6,0.6
2010-01-27,-79,9,27.7,0.2
2010-01-28,-84,-5,27,0.1
2010-01-29,-77,7,30.3,0.2
2010-01-30,-85,-8,26,0.3
2010-01-31,-83,2,27.1,0.2
2010-02-01,-78,5,29.7,0.1
2010-02-02,-85,-7,26.3,0.1
2010-02-03,-86,-1,25.8,0.1
2010-02-04,-87,-1,25.3,0.7
2010-02-05,-86,1,25.8,0.7
2010-02-06,-83,3,27.4,1.5
2010-02-07,-85,-2,27.5,0.9
2010-02-08,-86,-1,27.9,0.3
2010-02-09,-88,-2,24.8,0.4
2010-02-10,-87,1,25.2,0.5
2010-02-11,-87,0,24.8,NA
2010-02-12,-88,-1,24.3,NA
2010-02-13,-88,0,24.5,0.1
2010-02-14,-88,0,24.6,0.5
2010-02-15,-89,-1,24.3,1.3
2010-02-16,-92,-3,22.8,1
2010-02-17,-90,2,23.8,1.8
2010-02-18,-89,1,24.4,2.3
2010-02-19,-91,-2,23.4,2.5
2010-02-20,-85,6,26.3,3.3
2010-02-21,-68,17,34.9,3.1
2010-02-22,-22,46,58.9,2.6
2010-02-23,-28,-6,55.6,2.9
2010-02-24,-10,18,65.5,3.5
2010-02-25,-13,-3,63.5,3.9
2010-02-26,2,15,71,4.4
2010-02-27,15,13,77.7,5
2010-02-28,39,24,87.9,5.1
2010-03-01,57,18,95.4,5.2
2010-03-02,26,-31,82.2,5.7
2010-03-03,0,-26,70.4,5.9
2010-03-04,-13,-13,63.8,6.1
2010-03-05,-29,-16,55.1,5.1
2010-03-06,-37,-8,50.9,4
2010-03-07,-46,-9,46.2,3.7
2010-03-08,-52,-6,43.1,2.7
2010-03-09,-57,-5,40.5,2.6
2010-03-10,-65,-8,36.5,2.5
2010-03-11,-66,-1,36,NA
2010-03-12,-68,-2,35,2.4
2010-03-13,-69,-1,34.5,3.1
2010-03-14,-68,1,35,3.6
2010-03-15,-69,-1,34.5,4
2010-03-16,-70,-1,33.9,4.5
2010-03-17,-74,-4,31.9,4.6
2010-03-18,-73,1,32.4,5
2010-03-19,-74,-1,31.9,5.9
2010-03-20,-74,0,31.9,6.4
2010-03-21,-76,-2,30.8,7.7
2010-03-22,-75,1,31.3,8.9
2010-03-23,-71,4,33.4,9
2010-03-24,-63,8,37.4,9.3
2010-03-25,-62,1,36.6,10.1
2010-03-26,-71,-9,33.8,10.8
2010-03-27,-65,6,36.4,11.4
2010-03-28,-70,-5,33.9,11.4
2010-03-29,-70,0,33.9,11
2010-03-30,-74,-4,31.9,11.4
2010-03-31,-76,-2,31,11.9
2010-04-01,-77,-1,31,10.6
2010-04-02,-68,9,34.9,10.9
2010-04-03,-71,-3,33.4,10.3
2010-04-04,-67,4,35.5,10.8
2010-04-05,-74,-7,31.9,10.8
2010-04-06,-73,1,32.4,NA
2010-04-07,-61,12,38.1,9.3
2010-04-08,-76,-15,31.6,9.8
2010-04-09,-80,-4,29.8,10.4
2010-04-10,-83,-3,28.4,11.2
2010-04-11,-83,0,28.5,10.6
2010-04-12,-85,-2,27.5,10.3
2010-04-13,-84,1,27.9,9.5
2010-04-14,-84,0,28,9.6
2010-04-15,-81,3,29.4,10.1
2010-04-16,-48,33,44.3,10.6
2010-04-17,-51,-3,43.6,10.8
2010-04-18,-67,-16,35.5,11
2010-04-19,-75,-8,31.8,11.4
2010-04-20,-77,-2,30.5,11.7
2010-04-21,-80,-3,29,12.5
