"date","level","change24h","discharge","temperature"
2010-01-01,132,-8,57.2,5.1
2010-01-02,120,-12,50.6,5.9
2010-01-03,108,-12,43.9,5.1
2010-01-04,103,-5,41.2,3.2
2010-01-05,95,-8,36.9,1.7
2010-01-06,96,1,37.4,2.1
2010-01-07,88,-8,33.2,3.1
2010-01-08,88,0,33.2,3.3
2010-01-09,113,25,46.7,4.3
2010-01-10,33,3,7.2,5.1
2010-01-11,317,21,200,5.4
2010-01-12,288,-29,162,5
2010-01-13,245,-43,122,5.3
2010-01-14,206,-39,99.3,4.7
2010-01-15,180,-26,84.4,4.2
2010-01-16,155,-25,70.1,3.6
2010-01-17,135,-20,58.9,3.3
2010-01-18,128,-7,55,3
2010-01-19,118,-10,49.5,3.8
2010-01-20,108,-10,43.9,4.2
2010-01-21,106,-2,42.8,3.1
2010-01-22,99,-7,39,2.1
2010-01-23,93,-6,35.8,1.5
2010-01-24,88,-5,33.2,0.9
2010-01-25,83,-5,30.6,0.6
2010-01-26,78,-5,28,0.7
2010-01-27,72,-6,24.8,0.7
2010-01-28,88,16,33.2,0.6
2010-01-29,80,-8,29,0.6
2010-01-30,74,-6,25.9,1.1
2010-01-31,77,3,27.4,1.3
2010-02-01,67,-10,22.2,1.6
2010-02-02,66,-1,21.7,0.6
2010-02-03,73,7,25.4,0.6
2010-02-04,78,5,28,0.6
2010-02-05,81,3,29.5,0.8
2010-02-06,69,-12,23.3,0.8
2010-02-07,61,-8,19.2,1.8
2010-02-08,66,5,21.7,2.1
2010-02-09,60,-6,18.7,1.8
2010-02-10,63,3,20.2,1.5
2010-02-11,57,-6,17.2,NA
2010-02-12,58,1,17.7,NA
2010-02-13,62,4,19.7,3.9
2010-02-14,63,1,20.2,4.2
2010-02-15,58,-5,17.7,3.7
2010-02-16,64,6,20.7,3.6
2010-02-17,57,-7,17.2,2.9
2010-02-18,56,-1,16.7,3.2
2010-02-19,66,10,21.7,3.9
2010-02-20,93,27,35.8,4.3
2010-02-21,224,131,110,2.5
2010-02-22,161,-63,73.5,2.7
2010-02-23,126,-35,53.9,3.4
2010-02-24,178,52,83.2,4.3
2010-02-25,163,-15,74.6,3.4
2010-02-26,153,-10,68.9,3.6
2010-02-27,232,79,114,3.5
2010-02-28,237,5,117,3.6
2010-03-01,199,-38,95.2,4.4
2010-03-02,181,-18,84.9,4.4
2010-03-03,158,-23,71.8,3.9
2010-03-04,142,-16,62.8,3.3
2010-03-05,123,-19,52.2,2.9
2010-03-06,112,-11,46.1,NA
2010-03-07,110,-2,45,1.8
2010-03-08,103,-7,41.2,1.2
2010-03-09,96,-7,37.4,1
2010-03-10,95,-1,36.9,0.8
2010-03-11,91,-4,34.7,NA
2010-03-12,91,0,34.7,2.2
2010-03-13,92,1,35.3,2.5
2010-03-14,86,-6,32.1,2.6
2010-03-15,91,5,34.7,3.2
2010-03-16,83,-8,30.6,3.2
2010-03-17,84,1,31.1,2.4
2010-03-18,76,-8,26.9,3.4
2010-03-19,74,-2,25.9,4.5
2010-03-20,75,1,26.4,5.5
2010-03-21,74,-1,25.9,6.2
2010-03-22,85,11,31.6,7.1
2010-03-23,88,3,33.2,7.1
2010-03-24,79,-9,28.5,6.5
2010-03-25,85,6,31.6,6.9
2010-03-26,82,-3,30,7.9
2010-03-27,82,0,30,8.8
2010-03-28,86,4,32.1,8.2
2010-03-29,82,-4,30,7.3
2010-03-30,84,2,31.1,7.2
2010-03-31,83,-1,30.6,7.5
2010-04-01,96,13,37.4,6.7
2010-04-02,85,-11,31.6,7.1
2010-04-03,82,-3,30,6.8
2010-04-04,80,-2,29,7.2
2010-04-05,75,-5,26.4,7.5
2010-04-06,83,8,30.6,7.3
2010-04-07,80,-3,29,7.3
2010-04-08,77,-3,27.4,8.2
2010-04-09,75,-2,26.4,8.5
2010-04-10,74,-1,25.9,9.9
2010-04-11,81,7,29.5,8.2
2010-04-12,78,-3,28,7.3
2010-04-13,75,-3,26.4,8.1
2010-04-14,114,39,47.3,7.9
2010-04-15,303,189,179,8.4
2010-04-16,349,46,268,8.5
2010-04-17,316,-33,198,8.2
2010-04-18,273,-43,148,8.5
2010-04-19,221,-52,108,9.5
