"date","level","change24h","discharge","temperature"
2010-01-01,-54,-3,21.8,1.5
2010-01-02,-55,-1,21.4,2.1
2010-01-03,-58,-3,20,2.1
2010-01-04,-64,-6,17.5,1
2010-01-05,-68,-4,15.8,1
2010-01-06,-68,0,15.8,1
2010-01-07,-67,1,16.2,1
2010-01-08,-66,1,16.6,1
2010-01-09,-60,6,19.1,1
2010-01-10,-49,-10,24.1,6.5
2010-01-11,-34,-12,31,1
2010-01-12,-45,-11,25.9,1
2010-01-13,-51,-6,23.2,0.5
2010-01-14,-58,-7,20,0.7
2010-01-15,-61,-3,18.7,1
2010-01-16,-64,-3,17.5,1.5
2010-01-17,-65,-1,17.1,1.2
2010-01-18,-65,0,17.1,1.2
2010-01-19,-70,-5,15.8,1.4
2010-01-20,-70,0,15,1.3
2010-01-21,-69,1,15.4,1.3
2010-01-22,-70,-1,15,1.2
2010-01-23,-73,-3,13.8,1
2010-01-24,-73,0,13.8,1
2010-01-25,-76,-3,12.7,1
2010-01-26,-78,-2,11.9,0.7
2010-01-27,-85,-7,9.4,0
2010-01-28,-85,0,9.4,0
2010-01-29,-80,5,11.1,0
2010-01-30,-80,0,11.1,0
2010-01-31,-74,6,13.4,0
2010-02-01,-80,-6,11.1,0
2010-02-02,-84,-4,9.7,0
2010-02-03,-82,2,10.4,0
2010-02-04,-76,6,12.7,0
2010-02-05,-76,0,12.7,0
2010-02-06,-78,-2,11.9,0
2010-02-07,-77,1,12.3,0
2010-02-08,-83,-6,10.1,0
2010-02-09,-82,1,10.4,0
2010-02-10,-83,-1,10.1,0
2010-02-11,-80,3,11.1,NA
2010-02-12,-78,2,11.9,NA
2010-02-13,-77,1,12.3,0.7
2010-02-14,-84,-7,9.7,0.5
2010-02-15,-80,4,11.1,0
2010-02-16,-82,-2,10.4,0.5
2010-02-17,-81,1,10.8,1
2010-02-18,-81,0,10.8,1.2
2010-02-19,-77,4,12.3,1.5
2010-02-20,-65,12,17.1,2.2
2010-02-21,-32,33,31.9,2
